grainID,grainType,quantity,price,supplierName,reorderLevel,DateofOrder,batchNumber,warehouse
1482,Rye,863,2.61,"XYZ Grains Co.",212,14-02-2025,Q51Z,"Warehouse C"
1557,Wheat,723,2.3,"Grain Masters",259,05-02-2025,F4NH,"Warehouse B"
1684,Rye,1491,1.02,"Grains World",471,08-02-2025,OYRC,"Warehouse C"
1278,Millet,977,0.81,"Grains World",269,16-02-2025,4TXB,"Warehouse C"
1202,Rice,916,2.46,"XYZ Grains Co.",316,17-02-2025,7IND,"Warehouse C"
1361,Corn,1193,0.92,"ABC Farms",130,13-02-2025,PQ3Y,"Warehouse A"
1912,Millet,156,2.9,"Organic Grains",411,26-01-2025,WI96,"Warehouse A"
1156,Wheat,1377,0.82,"Grains World",237,30-01-2025,UI2I,"Warehouse C"
1012,Wheat,947,2.96,"Old Mill",151,20-02-2025,NHFL,"Warehouse A"
1493,Rice,242,0.63,"Grains World",149,07-02-2025,HQS1,"Warehouse B"
1353,Rye,739,1.23,"Grain Masters",467,09-02-2025,XIR3,"Warehouse C"
1632,Millet,1074,2.02,"Grain Masters",196,18-02-2025,5LKT,"Warehouse B"
1913,Sorghum,605,0.51,"XYZ Grains Co.",174,06-02-2025,13I4,"Warehouse A"
1667,Millet,878,2.26,"Organic Grains",234,29-01-2025,CG0C,"Warehouse A"
1817,Wheat,1064,1.41,"Grain Masters",148,02-02-2025,QRWJ,"Warehouse A"
1890,Millet,542,2.71,"Grain Masters",170,12-02-2025,L0YR,"Warehouse A"
1221,Corn,758,2.12,"Healthy Grains",408,19-02-2025,24K4,"Warehouse A"
1370,Wheat,112,1.85,"ABC Farms",341,10-02-2025,H4VH,"Warehouse C"
1414,Rice,383,1.86,"Organic Grains",319,11-02-2025,HQE7,"Warehouse C"
1483,Oats,137,2.08,"Grains World",103,02-02-2025,HLOW,"Warehouse B"
1265,Wheat,1389,2.06,"Healthy Grains",473,07-02-2025,EOEN,"Warehouse C"
1107,Buckwheat,748,1.33,"Grains World",155,26-01-2025,R1T3,"Warehouse C"
1468,Corn,437,1.46,"ABC Farms",458,12-02-2025,IXSH,"Warehouse C"
1003,Sorghum,630,1.36,"Grains World",443,21-01-2025,QND2,"Warehouse B"
1150,Wheat,851,2.76,"Grains World",375,04-02-2025,JRX6,"Warehouse C"
1531,Wheat,823,1.79,"ABC Farms",232,14-02-2025,8LC4,"Warehouse B"
1857,Millet,1346,2.49,"Grain Masters",168,14-02-2025,4K2H,"Warehouse C"
1397,Millet,1404,2.3,"Old Mill",393,03-02-2025,UD0D,"Warehouse B"
1012,Buckwheat,326,2.21,"Organic Grains",348,15-02-2025,AE57,"Warehouse B"
1764,Barley,354,1.96,"Grains World",190,10-02-2025,KOEQ,"Warehouse C"
1079,Rice,1266,2.03,"Healthy Grains",320,30-01-2025,Z0QQ,"Warehouse A"
1879,Wheat,188,0.87,"Old Mill",324,31-01-2025,8.60E+04,"Warehouse B"
1075,Buckwheat,107,0.72,"Grain Masters",310,05-02-2025,PM4K,"Warehouse A"
1227,Sorghum,1233,2.33,"Organic Grains",301,25-01-2025,CPFH,"Warehouse B"
1461,Barley,984,0.84,"Grains World",196,11-02-2025,I8WV,"Warehouse C"
1933,Corn,1007,1.05,"ABC Farms",415,20-02-2025,PSL9,"Warehouse C"
1556,Wheat,763,1.44,"XYZ Grains Co.",331,21-01-2025,3HEF,"Warehouse A"
1085,Buckwheat,391,1.33,"Grain Masters",383,09-02-2025,V6FM,"Warehouse A"
1656,Rice,541,0.94,"Grains World",125,07-02-2025,MQ9F,"Warehouse C"
1476,Sorghum,781,1.61,"ABC Farms",390,01-02-2025,Y93Q,"Warehouse A"
1721,Rye,634,2.06,"Grains World",308,06-02-2025,OPCJ,"Warehouse A"
1610,Corn,595,1.44,"Old Mill",350,09-02-2025,DODG,"Warehouse B"
1802,Wheat,472,0.78,"Healthy Grains",451,21-01-2025,WQQT,"Warehouse B"
1887,Millet,924,0.81,"Grain Masters",159,13-02-2025,LIQB,"Warehouse A"
1202,Barley,1452,1.81,"Grain Masters",190,19-02-2025,5ANT,"Warehouse B"
1815,Millet,1308,2.64,"Organic Grains",183,02-02-2025,GO0G,"Warehouse B"
1581,Sorghum,873,1.97,"Grains World",414,02-02-2025,E8QD,"Warehouse C"
1597,Oats,1139,2.4,"ABC Farms",195,10-02-2025,DCAA,"Warehouse B"
1054,Quinoa,355,1.14,"Healthy Grains",490,19-02-2025,MWN0,"Warehouse C"
1877,Rye,113,0.81,"Healthy Grains",172,08-02-2025,MBZD,"Warehouse C"
1366,Rye,307,2.38,"Old Mill",280,02-02-2025,STWA,"Warehouse C"
1110,Corn,758,0.9,"XYZ Grains Co.",344,16-02-2025,TH1E,"Warehouse C"
1449,Millet,1368,1.53,"Grains World",396,25-01-2025,BWT1,"Warehouse A"
1251,Rye,614,1.13,"Grain Masters",464,05-02-2025,Q009,"Warehouse A"
1715,Oats,1350,1.44,"Organic Grains",349,29-01-2025,QKQ5,"Warehouse A"
1079,Buckwheat,1266,1.97,"ABC Farms",135,03-02-2025,MOIH,"Warehouse C"
1522,Millet,1174,2.58,"Grain Masters",364,22-01-2025,KHW0,"Warehouse A"
1602,Quinoa,966,1.49,"Grains World",268,31-01-2025,FKIK,"Warehouse B"
1808,Corn,252,0.97,"XYZ Grains Co.",301,15-02-2025,R4E6,"Warehouse C"
1380,Rice,659,2.05,"Grain Masters",493,26-01-2025,CRHE,"Warehouse C"
1968,Wheat,742,0.92,"Healthy Grains",399,14-02-2025,10FF,"Warehouse B"
1117,Rye,361,0.9,"Healthy Grains",144,05-02-2025,2OVQ,"Warehouse C"
1383,Corn,1261,0.95,"XYZ Grains Co.",207,17-02-2025,FHWP,"Warehouse B"
1848,Rye,760,1.4,"Healthy Grains",199,15-02-2025,LOUN,"Warehouse B"
1445,Quinoa,679,2.92,"Grains World",266,21-01-2025,DL9T,"Warehouse A"
1690,Quinoa,389,0.64,"ABC Farms",268,12-02-2025,40V0,"Warehouse A"
1442,Millet,1278,1.75,"ABC Farms",191,13-02-2025,GEUK,"Warehouse A"
1625,Sorghum,1393,1.05,"Old Mill",103,02-02-2025,M339,"Warehouse A"
1597,Rye,361,2.53,"Grains World",361,14-02-2025,VP2P,"Warehouse A"
1370,Quinoa,1390,2.94,"Old Mill",160,09-02-2025,XTND,"Warehouse B"
1174,Wheat,897,1.59,"Grains World",149,24-01-2025,RXUA,"Warehouse C"
1227,Rye,524,1.69,"Grains World",367,02-02-2025,4AQT,"Warehouse A"
1055,Rice,1035,2.68,"Organic Grains",246,09-02-2025,JRF5,"Warehouse B"
1632,Millet,1237,2.45,"Grains World",183,22-01-2025,67EH,"Warehouse C"
1280,Quinoa,348,1.51,"Grain Masters",184,14-02-2025,DZFE,"Warehouse A"
1665,Rye,1431,1.53,"ABC Farms",265,01-02-2025,56HV,"Warehouse B"
1199,Barley,303,0.62,"Grains World",278,23-01-2025,R0QC,"Warehouse B"
1766,Buckwheat,268,1.88,"Grain Masters",385,08-02-2025,HE6N,"Warehouse C"
1434,Buckwheat,1476,0.55,"Organic Grains",303,16-02-2025,1P1T,"Warehouse A"
1879,Corn,1143,2.65,"Old Mill",131,06-02-2025,EPOD,"Warehouse C"
1847,Quinoa,1356,2.84,"Organic Grains",305,29-01-2025,BV6R,"Warehouse B"
1092,Sorghum,904,0.53,"XYZ Grains Co.",380,20-02-2025,93SF,"Warehouse B"
1824,Oats,148,1.13,"Grain Masters",431,10-02-2025,CVY7,"Warehouse C"
1531,Buckwheat,399,1.86,"XYZ Grains Co.",294,13-02-2025,GM3M,"Warehouse A"
1714,Millet,1041,2.3,"XYZ Grains Co.",211,13-02-2025,TN5Z,"Warehouse B"
1750,Quinoa,1009,0.9,"Organic Grains",190,11-02-2025,17QJ,"Warehouse A"
1082,Oats,1394,2.23,"ABC Farms",237,22-01-2025,PT0Q,"Warehouse A"
1584,Corn,846,0.65,"Grains World",121,11-02-2025,K29P,"Warehouse B"
1767,Oats,918,1.57,"Grains World",480,08-02-2025,N839,"Warehouse A"
1012,Sorghum,1078,0.87,"Old Mill",376,27-01-2025,ZILJ,"Warehouse A"
1429,Rye,1230,2.24,"Old Mill",174,05-02-2025,I641,"Warehouse A"
1389,Buckwheat,774,2.2,"Grain Masters",253,10-02-2025,UVHX,"Warehouse C"
1530,Rye,1284,0.78,"Grain Masters",135,20-02-2025,CRDK,"Warehouse C"
1279,Wheat,545,1.56,"XYZ Grains Co.",241,20-02-2025,OEHW,"Warehouse A"
1165,Oats,186,1.51,"Grains World",295,03-02-2025,IHHC,"Warehouse C"
1874,Buckwheat,531,1.27,"Old Mill",279,25-01-2025,EZZU,"Warehouse B"
1707,Wheat,532,1.32,"Organic Grains",229,12-02-2025,2O25,"Warehouse B"
1560,Oats,440,0.62,"Old Mill",282,01-02-2025,YPNX,"Warehouse B"
1134,Wheat,1105,0.61,"Old Mill",195,24-01-2025,BE6B,"Warehouse B"
1726,Millet,725,2.45,"Organic Grains",411,11-02-2025,97RO,"Warehouse B"
1607,Rice,1410,2.63,"ABC Farms",351,02-02-2025,QIEW,"Warehouse A"
1667,Buckwheat,1444,1.21,"Healthy Grains",411,24-01-2025,R2H0,"Warehouse A"
1756,Rice,503,0.78,"Organic Grains",246,01-02-2025,80WA,"Warehouse A"
1507,Rye,812,2.5,"Grains World",347,01-02-2025,CU0X,"Warehouse C"
1671,Quinoa,984,1.63,"Old Mill",363,11-02-2025,KTAC,"Warehouse A"
1327,Wheat,779,2.07,"ABC Farms",180,24-01-2025,4S9T,"Warehouse B"
1122,Rye,215,0.67,"Grains World",235,13-02-2025,8JRF,"Warehouse B"
1068,Buckwheat,767,1.1,"Healthy Grains",455,07-02-2025,4NVZ,"Warehouse B"
1989,Buckwheat,111,2.66,"ABC Farms",440,14-02-2025,31I8,"Warehouse C"
1746,Corn,821,0.72,"Grains World",305,15-02-2025,Q5UR,"Warehouse B"
1212,Wheat,1426,2.54,"ABC Farms",233,27-01-2025,H9G7,"Warehouse A"
1505,Millet,1365,0.85,"Grain Masters",499,16-02-2025,FN6J,"Warehouse C"
1394,Corn,1362,0.84,"Grain Masters",271,23-01-2025,4ZG3,"Warehouse A"
1056,Millet,947,2.83,"ABC Farms",324,21-01-2025,GKKC,"Warehouse B"
1271,Sorghum,234,2.02,"Grain Masters",329,11-02-2025,I4WK,"Warehouse B"
1289,Barley,1134,1.73,"Healthy Grains",247,08-02-2025,W2HI,"Warehouse B"
1597,Rye,328,2.66,"Old Mill",239,02-02-2025,BSNR,"Warehouse A"
1463,Oats,1047,3,"XYZ Grains Co.",308,11-02-2025,GHE5,"Warehouse A"
1458,Barley,807,1.05,"Organic Grains",265,07-02-2025,SBL1,"Warehouse B"
1704,Quinoa,930,1.02,"ABC Farms",391,14-02-2025,215S,"Warehouse A"
1944,Buckwheat,159,1.12,"Healthy Grains",162,22-01-2025,BN25,"Warehouse C"
1748,Wheat,615,2.92,"Grain Masters",110,24-01-2025,J0IH,"Warehouse A"
1495,Buckwheat,591,0.82,"Grain Masters",272,10-02-2025,ZQIM,"Warehouse A"
1528,Oats,1247,0.81,"Healthy Grains",347,03-02-2025,BDBL,"Warehouse B"
1941,Barley,999,1.4,"Grains World",242,03-02-2025,2TA8,"Warehouse A"
1288,Buckwheat,408,1.68,"Organic Grains",431,20-02-2025,EEKP,"Warehouse B"
1433,Rice,1244,1.56,"ABC Farms",182,21-01-2025,555W,"Warehouse C"
1225,Wheat,134,1.76,"ABC Farms",247,07-02-2025,13LS,"Warehouse B"
1758,Quinoa,415,2.57,"Healthy Grains",337,23-01-2025,COGU,"Warehouse C"
1375,Barley,140,1.46,"Healthy Grains",149,04-02-2025,KKTP,"Warehouse A"
1699,Buckwheat,552,2.69,"Healthy Grains",453,14-02-2025,OLHS,"Warehouse A"
1595,Sorghum,984,1.02,"Grains World",196,29-01-2025,DAB2,"Warehouse B"
1141,Millet,628,2.05,"XYZ Grains Co.",452,10-02-2025,8Z8Y,"Warehouse A"
1167,Buckwheat,1146,2.95,"Organic Grains",221,17-02-2025,4X6T,"Warehouse B"
1580,Millet,1048,1.65,"ABC Farms",119,11-02-2025,KFYU,"Warehouse A"
1643,Wheat,1455,1.97,"XYZ Grains Co.",497,07-02-2025,BBEM,"Warehouse C"
1971,Barley,220,2.13,"ABC Farms",347,03-02-2025,CDUB,"Warehouse B"
1785,Barley,199,0.53,"XYZ Grains Co.",283,06-02-2025,1OF5,"Warehouse C"
1978,Wheat,1165,2.87,"Grain Masters",487,08-02-2025,5UL9,"Warehouse A"
1830,Sorghum,111,1.56,"Grain Masters",445,30-01-2025,6ZR9,"Warehouse A"
1838,Sorghum,493,1.48,"Grains World",149,23-01-2025,3PNQ,"Warehouse A"
1686,Barley,1388,2.39,"Old Mill",188,30-01-2025,ND8O,"Warehouse A"
1785,Rye,1225,2.13,"Grain Masters",486,27-01-2025,7EBD,"Warehouse C"
1144,Sorghum,833,1.37,"XYZ Grains Co.",452,10-02-2025,XWUR,"Warehouse B"
1851,Rye,389,0.75,"ABC Farms",408,11-02-2025,Z176,"Warehouse C"
1782,Corn,634,2.05,"ABC Farms",115,16-02-2025,PID7,"Warehouse B"
1900,Sorghum,311,1.58,"XYZ Grains Co.",301,02-02-2025,BKBX,"Warehouse B"
1209,Rice,958,1.85,"Healthy Grains",311,01-02-2025,TG61,"Warehouse C"
1491,Sorghum,769,1.06,"Old Mill",396,06-02-2025,541I,"Warehouse A"
1843,Corn,508,2.87,"Healthy Grains",168,21-01-2025,PDQV,"Warehouse B"
1242,Oats,854,1.76,"XYZ Grains Co.",123,16-02-2025,NJS7,"Warehouse B"
1431,Sorghum,148,2.23,"Old Mill",486,13-02-2025,75AD,"Warehouse B"
1290,Quinoa,249,1.02,"Organic Grains",209,31-01-2025,2KXG,"Warehouse A"
1603,Oats,1069,0.62,"Healthy Grains",115,09-02-2025,5YJX,"Warehouse B"
1821,Barley,1066,0.91,"Old Mill",357,25-01-2025,E3TZ,"Warehouse B"
1336,Rye,336,2.04,"Organic Grains",221,02-02-2025,ACVQ,"Warehouse C"
1047,Oats,1418,1.71,"Grain Masters",241,12-02-2025,5D7Y,"Warehouse C"
1499,Barley,1185,1.84,"Old Mill",170,05-02-2025,I91E,"Warehouse C"
1395,Millet,317,2.39,"Grains World",214,07-02-2025,6L0Y,"Warehouse A"
1825,Corn,633,1.15,"Organic Grains",286,28-01-2025,4TFX,"Warehouse C"
1663,Corn,1422,1.28,"Grains World",482,09-02-2025,7YOU,"Warehouse A"
1659,Sorghum,690,1.14,"ABC Farms",462,01-02-2025,1R8J,"Warehouse A"
1646,Sorghum,245,2.14,"Healthy Grains",149,24-01-2025,LBRQ,"Warehouse A"
1260,Buckwheat,402,1.45,"Grains World",448,15-02-2025,HQFZ,"Warehouse C"
1507,Millet,957,1.21,"ABC Farms",423,03-02-2025,G230,"Warehouse A"
1923,Rye,517,2.8,"ABC Farms",366,23-01-2025,IIIA,"Warehouse A"
1292,Oats,233,2.25,"Organic Grains",242,10-02-2025,LA3G,"Warehouse A"
1501,Quinoa,1013,2.74,"Organic Grains",324,24-01-2025,TUSX,"Warehouse C"
1282,Millet,1470,1.41,"Grains World",404,04-02-2025,OM4S,"Warehouse C"
2000,Rye,1096,1.08,"XYZ Grains Co.",106,03-02-2025,O1CQ,"Warehouse A"
1306,Corn,436,2.14,"Old Mill",153,02-02-2025,NMFZ,"Warehouse A"
1336,Oats,1325,2.33,"Healthy Grains",440,12-02-2025,VJF0,"Warehouse C"
1240,Wheat,1223,2.79,"Old Mill",238,08-02-2025,JBP0,"Warehouse C"
1549,Oats,800,0.55,"Healthy Grains",120,25-01-2025,F6TL,"Warehouse B"
1973,Sorghum,830,0.96,"ABC Farms",488,04-02-2025,FBM4,"Warehouse B"
1356,Millet,945,2.05,"XYZ Grains Co.",161,11-02-2025,55GV,"Warehouse C"
1700,Rice,1287,1.97,"Grain Masters",194,07-02-2025,3WYK,"Warehouse A"
1702,Wheat,313,0.71,"Grain Masters",487,20-02-2025,T9C7,"Warehouse C"
1150,Rice,1029,1.68,"Organic Grains",182,02-02-2025,W49Q,"Warehouse C"
1493,Sorghum,667,2,"Grain Masters",111,24-01-2025,5ENF,"Warehouse C"
1561,Oats,778,1.26,"Grain Masters",285,19-02-2025,W4U8,"Warehouse A"
1986,Oats,608,0.64,"Grain Masters",251,26-01-2025,2UV2,"Warehouse B"
1617,Corn,827,1.3,"Old Mill",164,17-02-2025,9C52,"Warehouse C"
1003,Wheat,825,1.43,"Healthy Grains",361,12-02-2025,SBBO,"Warehouse A"
1311,Barley,1246,0.54,"Grain Masters",398,25-01-2025,9IPE,"Warehouse A"
1232,Rice,634,1.09,"Old Mill",495,12-02-2025,JSQ0,"Warehouse A"
1854,Millet,1444,2.67,"Grains World",231,13-02-2025,4QO9,"Warehouse B"
1701,Rye,336,2.19,"Old Mill",137,31-01-2025,PZVD,"Warehouse A"
1662,Buckwheat,921,0.93,"Healthy Grains",297,10-02-2025,KEJT,"Warehouse B"
1015,Millet,602,2.94,"Old Mill",481,02-02-2025,D26H,"Warehouse C"
1406,Millet,1375,1.04,"Grains World",400,27-01-2025,LS9D,"Warehouse B"
1796,Wheat,1140,1.97,"XYZ Grains Co.",278,07-02-2025,54KN,"Warehouse A"
1029,Oats,1419,1.31,"XYZ Grains Co.",240,30-01-2025,S1AF,"Warehouse B"
1266,Sorghum,976,0.72,"ABC Farms",373,24-01-2025,PTZB,"Warehouse B"
1554,Rice,909,1.68,"Grains World",115,02-02-2025,YS48,"Warehouse C"
1898,Rice,917,0.64,"Organic Grains",319,08-02-2025,TX5H,"Warehouse C"
1652,Sorghum,540,2,"Organic Grains",223,27-01-2025,RWNN,"Warehouse C"
1242,Millet,1376,0.88,"Grains World",466,26-01-2025,B0A5,"Warehouse A"
1662,Millet,982,1.37,"Old Mill",229,31-01-2025,5RDE,"Warehouse B"
1456,Rice,451,0.64,"Grains World",459,07-02-2025,PUJW,"Warehouse A"
1583,Barley,616,0.76,"Grain Masters",387,19-02-2025,2PUN,"Warehouse B"
1255,Buckwheat,1426,1.95,"ABC Farms",426,17-02-2025,2SMR,"Warehouse B"
1038,Oats,589,2.92,"Grains World",383,25-01-2025,MMTM,"Warehouse B"
1907,Corn,1182,2.8,"Old Mill",217,24-01-2025,PKVM,"Warehouse A"
1906,Rye,1037,1.77,"XYZ Grains Co.",152,13-02-2025,CF03,"Warehouse C"
1670,Wheat,1013,1.94,"Grain Masters",299,17-02-2025,5GPJ,"Warehouse B"
1769,Wheat,685,0.82,"XYZ Grains Co.",182,12-02-2025,M81D,"Warehouse A"
1915,Sorghum,1292,1.16,"Organic Grains",337,03-02-2025,6Z0I,"Warehouse A"
1678,Buckwheat,447,0.92,"XYZ Grains Co.",261,09-02-2025,QV8U,"Warehouse A"
1799,Barley,1018,2.05,"XYZ Grains Co.",211,09-02-2025,VNGJ,"Warehouse B"
1461,Buckwheat,378,2.48,"Grains World",173,03-02-2025,VMBJ,"Warehouse B"
1402,Quinoa,829,1.97,"Grain Masters",475,09-02-2025,CDIO,"Warehouse A"
1203,Corn,1139,2.38,"Grains World",433,07-02-2025,1IOE,"Warehouse C"
1724,Sorghum,827,1.08,"Old Mill",295,17-02-2025,C86W,"Warehouse B"
1659,Rice,1210,2.03,"Healthy Grains",309,27-01-2025,YJS0,"Warehouse B"
1149,Sorghum,691,1.63,"XYZ Grains Co.",136,04-02-2025,CHIY,"Warehouse B"
1121,Barley,877,2.42,"Grain Masters",452,26-01-2025,K7QT,"Warehouse C"
1476,Quinoa,1093,1.39,"XYZ Grains Co.",110,18-02-2025,Y6R9,"Warehouse B"
1097,Sorghum,968,2.88,"Grain Masters",311,03-02-2025,T1CB,"Warehouse A"
1431,Rice,1085,1.82,"ABC Farms",211,04-02-2025,S4OR,"Warehouse A"
1568,Oats,550,1.61,"Grains World",364,20-02-2025,Q2K4,"Warehouse B"
1914,Rye,1141,2.84,"Old Mill",232,20-02-2025,1YZR,"Warehouse C"
1294,Rye,449,1.19,"Old Mill",307,19-02-2025,FK3N,"Warehouse C"
1261,Barley,1102,1.01,"XYZ Grains Co.",350,27-01-2025,LMQQ,"Warehouse A"
1875,Millet,796,2.27,"Grains World",419,09-02-2025,F6GU,"Warehouse A"
1994,Corn,603,2,"Healthy Grains",218,09-02-2025,VZL7,"Warehouse A"
1237,Rice,614,1.41,"XYZ Grains Co.",279,29-01-2025,GLDZ,"Warehouse B"
1070,Sorghum,1389,2.57,"XYZ Grains Co.",476,27-01-2025,SCYC,"Warehouse A"
1333,Buckwheat,639,2.69,"Old Mill",237,12-02-2025,WGE4,"Warehouse B"
1970,Millet,419,1.33,"XYZ Grains Co.",399,19-02-2025,Z8EX,"Warehouse C"
1614,Quinoa,1089,2.27,"XYZ Grains Co.",244,10-02-2025,P9ST,"Warehouse C"
1459,Oats,318,2.61,"Grains World",434,04-02-2025,BX0H,"Warehouse C"
1465,Corn,1309,2.34,"Healthy Grains",219,08-02-2025,TO11,"Warehouse C"
1764,Rice,602,2.34,"Grain Masters",226,05-02-2025,A2EY,"Warehouse B"
1421,Corn,186,1.04,"Grain Masters",412,01-02-2025,BSSQ,"Warehouse B"
1547,Corn,634,2.2,"Organic Grains",400,31-01-2025,I18M,"Warehouse C"
1917,Sorghum,1158,1.22,"Healthy Grains",449,06-02-2025,KMBY,"Warehouse C"
1070,Oats,825,0.59,"Old Mill",477,08-02-2025,7AZC,"Warehouse C"
1797,Buckwheat,1401,2.11,"Organic Grains",354,08-02-2025,PDIZ,"Warehouse B"
1447,Rye,685,2.85,"Old Mill",175,06-02-2025,7W1I,"Warehouse A"
1201,Barley,1182,1.09,"Healthy Grains",212,22-01-2025,X6T2,"Warehouse C"
1229,Buckwheat,878,1.74,"Healthy Grains",190,20-02-2025,01JF,"Warehouse A"
1521,Corn,1247,1.69,"Organic Grains",402,23-01-2025,VAO7,"Warehouse B"
1701,Rice,422,1.95,"Organic Grains",431,31-01-2025,5UF9,"Warehouse A"
1274,Rice,1198,3,"Healthy Grains",402,04-02-2025,VK28,"Warehouse B"
1178,Corn,669,1.02,"Organic Grains",451,11-02-2025,MK6I,"Warehouse A"
1400,Quinoa,825,0.85,"Old Mill",391,13-02-2025,ZB5M,"Warehouse C"
1363,Millet,475,2.24,"Healthy Grains",179,19-02-2025,P01S,"Warehouse A"
1936,Wheat,1457,1.05,"Organic Grains",450,25-01-2025,R9PD,"Warehouse A"
1787,Barley,639,1.34,"Old Mill",384,08-02-2025,AU4U,"Warehouse A"
1664,Corn,1495,0.67,"ABC Farms",421,02-02-2025,XZFB,"Warehouse B"
1121,Corn,783,2.81,"Organic Grains",147,05-02-2025,3RF6,"Warehouse C"
1193,Oats,606,1.07,"XYZ Grains Co.",210,27-01-2025,UP8G,"Warehouse A"
1561,Millet,1399,1.74,"Organic Grains",272,18-02-2025,HNOJ,"Warehouse C"
1797,Rye,700,2.08,"Organic Grains",260,18-02-2025,X93O,"Warehouse C"
1598,Sorghum,1003,2.95,"ABC Farms",297,07-02-2025,9ATQ,"Warehouse A"
1915,Quinoa,696,0.82,"ABC Farms",207,10-02-2025,0DJI,"Warehouse C"
1837,Sorghum,813,1.02,"ABC Farms",392,18-02-2025,O65E,"Warehouse C"
1834,Rice,1251,1.63,"Organic Grains",283,18-02-2025,SZ1V,"Warehouse B"
1312,Wheat,408,2.58,"Organic Grains",412,10-02-2025,Y48F,"Warehouse B"
1439,Rice,1329,1.02,"Organic Grains",156,07-02-2025,GCJT,"Warehouse A"
1810,Corn,1016,0.73,"ABC Farms",111,02-02-2025,Z971,"Warehouse A"
1461,Sorghum,1202,1.08,"ABC Farms",350,19-02-2025,XKMF,"Warehouse A"
